Total Abgeordnete: 4379

Wassermann 422 Abgeordnete
Widder 392 Abgeordnete
Stier 388 Abgeordnete
Krebs 386 Abgeordnete
Zwillinge 384 Abgeordnete
Fische 371 Abgeordnete
Steinbock 367 Abgeordnete
Löwe 365 Abgeordnete
Jungfrau 341 Abgeordnete
Waage 340 Abgeordnete
Schütze 335 Abgeordnete
Skorpion 288 Abgeordnete

Waage 340 Abgeordnete
11003546, 'Holger', 'Haibach', '25.09.1971', 'CDU', 'Waage'
11003581, 'Harald', 'Leibrecht', '14.10.1961', 'FDP', 'Waage'
11003587, 'Caren', 'Marks', '25.09.1963', 'SPD', 'Waage'
11003588, 'Hilde', 'Mattheis', '06.10.1954', 'SPD', 'Waage'
11003596, 'Marlene', 'Mortler', '16.10.1955', 'CSU', 'Waage'
11003609, 'Sibylle', 'Pfeiffer', '16.10.1951', 'CDU', 'Waage'
11003615, 'Gerold', 'Reichenbach', '28.09.1953', 'SPD', 'Waage'
11003616, 'Walter', 'Riester', '27.09.1943', 'SPD', 'Waage'
11003625, 'Andreas', 'Scheuer', '26.09.1974', 'CSU', 'Waage'
11003626, 'Georg', 'Schirmbeck', '06.10.1949', 'CDU', 'Waage'
11003648, 'Hans-Jürgen', 'Uhl', '06.10.1951', 'SPD', 'Waage'
11003655, 'Marco', 'Wanderwitz', '10.10.1975', 'CDU', 'Waage'
11003675, 'Angelika', 'Brunkhorst', '09.10.1955', 'FDP', 'Waage'
11003733, 'Hüseyin-Kenan', 'Aydin', '22.10.1962', 'DIE LINKE.', 'Waage'
11003744, 'Martin', 'Burkert', '14.10.1964', 'SPD', 'Waage'
11003778, 'Hans-Heinrich', 'Jordan', '26.09.1948', 'CDU', 'Waage'
11003789, 'Jens', 'Koeppen', '27.09.1962', 'CDU', 'Waage'
11003807, 'Patrick', 'Meinhardt', '30.09.1966', 'FDP', 'Waage'
11003817, 'Peter', 'Müller', '25.09.1955', 'CDU', 'Waage'
11003828, 'Maik', 'Reichel', '30.09.1971', 'SPD', 'Waage'
11003847, 'Rita', 'Schwarzelühr-Sutter', '13.10.1962', 'SPD', 'Waage'
11003851, 'Edmund', 'Stoiber', '28.09.1941', 'CSU', 'Waage'
11003853, 'Kirsten', 'Tackmann', '24.09.1960', 'DIE LINKE.', 'Waage'
11003856, 'Florian', 'Toncar', '18.10.1979', 'FDP', 'Waage'
11003900, 'Patrick', 'Kurth', '06.10.1976', 'FDP', 'Waage'
11004012, 'Matthias W.', 'Birkwald', '28.09.1961', 'DIE LINKE.', 'Waage'
